Feature,Coefficient,Std Error,Z-statistic,P-value,Significant (p<0.05)
const,-16.9642560112674,378880.83367192536,-4.4774648131071275e-05,0.9999642749995528,False
yr,1.0213079477162759,0.0360274573248963,28.348044062785256,8.847814192567924e-177,True
holiday,-0.07426313729077394,0.031803690007398785,-2.3350478285223324,0.019540922307407553,True
weekday,0.2315428461803726,0.03121512372736191,7.417649476667348,1.1921710808762552e-13,True
workingday,0.2810463586676861,0.03228401190520062,8.705434736331902,3.1635976722706186e-18,True
temp,1.128501340859431,0.07372230302725331,15.3074618469563,6.817282767141119e-53,True
hum,-0.23206899318081392,0.04246697298576494,-5.464693545702072,4.6370719279946465e-08,True
windspeed,-0.16273674706556754,0.03274512326601285,-4.96980102177465,6.702164459234368e-07,True
hr_1,-0.4529277176034501,0.12282180210723591,-3.687681745688751,0.0002263064475872649,True
hr_2,-24.5895596235741,,,,False
hr_3,-6.406105161559395,562598.0679409574,-1.1386646216196557e-05,0.9999909147707849,False
hr_4,-8.150495461345887,1449335.094766223,-5.623610089052979e-06,0.999995513008334,False
hr_5,-41.845715897981734,2148602.606103706,-1.9475781970620013e-05,0.999984460574257,False
hr_6,0.32668513748904227,0.051011448544976155,6.404153318661557,1.512061087714568e-10,True
hr_7,0.9723244544204642,0.04859208307050274,20.009935631072022,4.512308565130014e-89,True
hr_8,1.219968040440213,0.05108445923530345,23.881392867855148,4.7808689427119243e-126,True
hr_9,1.2804409409916242,0.05240776622772705,24.43227470195418,7.766690278398216e-132,True
hr_10,0.8369890509083161,0.04896751590809146,17.092740674844215,1.680850635763044e-65,True
hr_11,0.9770810909958965,0.049885749072605776,19.586377054773948,2.020680383154653e-85,True
hr_12,1.2281448255892506,0.05337125295418238,23.011354570288542,3.587937470954503e-117,True
hr_13,1.1623091775981558,0.05266928609761239,22.068064022057168,6.407693634340026e-108,True
hr_14,1.1129925310107849,0.05290844346644306,21.036198725382942,3.059426564758734e-98,True
hr_15,1.1866460184084406,0.05411688476752374,21.92746355423183,1.4213264364221214e-106,True
hr_16,1.3280831989365471,0.055723651481114564,23.83338427465851,1.5059172685850183e-125,True
hr_17,1.5876420817392767,0.06064570810848549,26.178968491871483,4.6133387364701036e-151,True
hr_18,1.4841390104415757,0.05761056490456274,25.761577115242492,2.391257087081209e-146,True
hr_19,1.296737353124484,0.05399480958434891,24.015963073242506,1.8942617795239646e-127,True
hr_20,1.0807367519462447,0.05020693065062928,21.525648709073177,8.95583440064403e-103,True
hr_21,0.9645065910317727,0.04928645773248106,19.569403755225398,2.819608860162014e-85,True
hr_22,0.7182873479572303,0.04812878719881903,14.924276919549209,2.2910562420202015e-50,True
hr_23,0.2999448392787692,0.04876046389032042,6.151394292586132,7.68047096917013e-10,True
season_2,0.3317363038649142,0.061864618915923895,5.362294469408355,8.217144051689415e-08,True
season_3,0.2899429606835602,0.08473873209520506,3.421610797265712,0.0006225135516157592,True
season_4,0.7977949152570646,0.06177998095352953,12.913485937413292,3.7780239440064584e-38,True
weather_2,-0.1368856933815506,0.033959502194435394,-4.030851000047365,5.557526776294261e-05,True
weather_3,-0.6237903788196217,0.035001803351102485,-17.821664002919828,4.798759489990932e-71,True
mnth_sin,-0.08668963886269912,0.07147311265060183,-1.2128986082708286,0.22516858781506854,False
mnth_cos,-0.3519739780806862,0.08536277985380974,-4.123272211653234,3.735278339903161e-05,True
